Vejnavn, Købesum, Dato, Type, kr/m², Rum, Postnr, Boligtype, m², Bygget, %
Espedalen 31, 3.850.000, 11-12-2014, Alm. Salg, 18.246, 6, 8240, Villa, 211, 1969, -4 %
Bredkær Tværvej 3, 3.732.500, 11-12-2014, Alm. Salg, 23.328, 5, 8250, Villa, 160, 2014, 0 %
Lundshøjvej 26, 1.925.000, 11-12-2014, Alm. Salg, 19.642, 4, 8270, Villa, 98, 1960, -4 %
Myntevej 13, 4.420.000, 11-12-2014, Alm. Salg, 26.000, 5, 8240, Villa, 170, 1973, -5 %
Kalendervej 10, 2.148.000, 11-12-2014, Alm. Salg, 17.463, 5, 8210, Villa, 123, 1969, -2 %
Bülowsgade 27, 3.999.000, 10-12-2014, Alm. Salg, 26.838, 5, 8000, Villa, 149, 1885, 0 %
Dalvangen 21, 3.900.000, 10-12-2014, Alm. Salg, 20.526, 5, 8270, Villa, 190, 1960, -7 %
Aage Jedichs Vej 13B, 2.450.000, 10-12-2014, Alm. Salg, 14.161, 7, 8270, Villa, 173, 1992
Capellavej 26, 4.675.000, 09-12-2014, Alm. Salg, 26.562, 7, 8270, Villa, 176, 1960, 0 %
Labyrinten 8, 2.498.000, 08-12-2014, Alm. Salg, 23.129, 4, 8220, Villa, 108, 1964, 0 %
Enemærket 24, 3.000.000, 08-12-2014, Alm. Salg, 18.987, 6, 8240, Villa, 158, 1969, -6 %
Tårnvej 1, 1.543.840, 08-12-2014, Andet, 9.649, 5, 8260, Villa, 160, 1927
Toftesvinget 28, 2.750.000, 08-12-2014, Alm. Salg, 22.727, 4, 8250, Villa, 121, 1966, -5 %
Bellisvej 6, 4.100.000, 07-12-2014, Alm. Salg, 29.285, 4, 8240, Villa, 140, 1968, -2 %
Brabrand Skovvej 23D, 2.455.000, 06-12-2014, Alm. Salg, 15.154, 6, 8220, Villa, 162, 1979, -4 %
Gammelsø Vænge 2, 550.000, 06-12-2014, Alm. Salg, 7.857, 4, 8260, Villa, 70, 1850
Katterhøjvej 21, 3.860.000, 05-12-2014, Alm. Salg, 24.125, 4, 8270, Villa, 160, 1972, -3 %
Karensmindevej 25, 2.475.000, 05-12-2014, Alm. Salg, 14.558, 7, 8260, Villa, 170, 1969, -3 %
Højvangsvej 48, 2.600.000, 04-12-2014, Alm. Salg, 20.472, 5, 8260, Villa, 127, 1966, -5 %
Skt.Pauls Gade 5, 3.050.000, 04-12-2014, Fam. Salg, 7.702, 4, 8000, Villa, 396, 1890
Skæring Hedevej 164, 2.025.000, 03-12-2014, Alm. Salg, 14.568, 4, 8250, Villa, 139, 1973, -6 %
Åby Kirkevej 4, 3.100.000, 02-12-2014, Alm. Salg, 48.437, 3, 8230, Villa, 64, 1933, -3 %
Vejlbygade 28, 3.000.000, 02-12-2014, Alm. Salg, 26.548, 4, 8240, Villa, 113, 1907, 4 %
Bakkegårdsvej 24, 2.800.000, 01-12-2014, Alm. Salg, 18.421, 5, 8240, Villa, 152, 1947, -5 %
Barthsgade 18, 5.200.000, 01-12-2014, Alm. Salg, 31.515, 6, 8200, Villa, 165, 1913
Espedalen 56, 3.098.000, 01-12-2014, Alm. Salg, 20.381, 5, 8240, Villa, 152, 1969, -3 %
Klintevej 38A, 2.925.000, 30-11-2014, Alm. Salg, 23.780, 4, 8240, Villa, 123, 1964, -2 %
Agerbæksvej 5, 3.600.000, 30-11-2014, Alm. Salg, 26.086, 4, 8240, Villa, 138, 1977, -3 %
Elverdalsvej 22A, 1.619.000, 30-11-2014, Fam. Salg, 7.975, 5, 8270, Villa, 203, 2007
Kornmodsbakken 44, 3.000.000, 28-11-2014, Alm. Salg, 14.423, 5, 8210, Villa, 208, 1978, -3 %
Viborgvej 129, 3.050.000, 28-11-2014, Alm. Salg, 21.478, 4, 8210, Villa, 142, 1954, -2 %
Fuglesangs Alle 1, 3.675.000, 27-11-2014, Alm. Salg, 18.846, 6, 8210, Villa, 195, 1937, -8 %
Helenelyst 87, 3.500.000, 26-11-2014, Alm. Salg, 23.648, 4, 8220, Villa, 148, 2006, -2 %
Sandagervej 9, 9.200.000, 25-11-2014, Alm. Salg, 36.800, 7, 8240, Villa, 250, 2009, -6 %
Majvej 6, 2.365.000, 25-11-2014, Alm. Salg, 13.212, 5, 8210, Villa, 179, 1975, -5 %
Vibyvej 18, 3.375.000, 25-11-2014, Alm. Salg, 29.605, 4, 8230, Villa, 114, 1960, -6 %
Uraniavej 22, 4.750.000, 25-11-2014, Alm. Salg, 30.844, 8, 8270, Villa, 154, 1935, -5 %
Hestehavevej 2A, 4.200.000, 25-11-2014, Alm. Salg, 16.470, 8, 8270, Villa, 255, 1960, -7 %
Salamanderparken 117, 3.448.000, 25-11-2014, Alm. Salg, 22.986, 6, 8260, Villa, 150, 2011, -4 %
Vestre Kongevej 23, 3.625.000, 24-11-2014, Alm. Salg, 39.835, 5, 8260, Villa, 91, 1927, -4 %
Lærkevej 9B, 5.200.000, 24-11-2014, Alm. Salg, 26.130, 6, 8240, Villa, 199, 1977
Salamandervænget 7, 2.000.000, 24-11-2014, Alm. Salg, 14.925, 5, 8260, Villa, 134, 1965, -16 %
G.C.Amdrups Vej 6, 3.350.000, 24-11-2014, Alm. Salg, 27.685, 6, 8200, Villa, 121, 1940, -4 %
Skolesvinget 14, 4.998.000, 24-11-2014, Alm. Salg, 27.311, 8, 8240, Villa, 183, 1952, 0 %
Gemmavej 11, 3.400.000, 24-11-2014, Alm. Salg, 26.984, 4, 8270, Villa, 126, 1967, -3 %
Kanehaven 89, 3.200.000, 24-11-2014, Alm. Salg, 17.777, 6, 8240, Villa, 180, 1970
Kastorvej 6, 5.625.000, 24-11-2014, Alm. Salg, 21.972, 9, 8270, Villa, 256, 1968
Provsteparkvej 14, 3.430.000, 24-11-2014, Alm. Salg, 22.866, 6, 8270, Villa, 150, 1977
Toftebakken 4, 2.250.000, 24-11-2014, Alm. Salg, 19.736, 4, 8250, Villa, 114, 1968, -6 %
Themsvej 42B, 5.200.000, 24-11-2014, Alm. Salg, 29.050, 6, 8240, Villa, 179, 1972, -3 %
Helgesvej 4, 4.250.000, 21-11-2014, Alm. Salg, 33.464, 5, 8230, Villa, 127, 1912
Jarlsmindevej 164, 2.250.000, 21-11-2014, Alm. Salg, 20.270, 4, 8260, Villa, 111, 1978, -5 %
Klokkerbakken 88, 3.650.000, 20-11-2014, Alm. Salg, 20.505, 7, 8210, Villa, 178, 1969, -4 %
Spicavej 26, 3.250.000, 20-11-2014, Alm. Salg, 21.381, 6, 8270, Villa, 152, 1961, -1 %
Egensvej 3, 3.400.000, 20-11-2014, Alm. Salg, 26.771, 5, 8240, Villa, 127, 1955, -3 %
P.S.Krøyers Vej 23, 4.800.000, 20-11-2014, Alm. Salg, 30.769, 8, 8270, Villa, 156, 1958, -4 %
Jagtvej 28, 3.600.000, 19-11-2014, Alm. Salg, 32.142, 4, 8270, Villa, 112, 1959
Bushøjvej 214, 3.550.000, 19-11-2014, Alm. Salg, 19.832, 6, 8270, Villa, 179, 1977
Uraniavej 23, 4.995.000, 19-11-2014, Alm. Salg, 39.330, 4, 8270, Villa, 127, 1928, 0 %
Buggesgårdvej 59, 575.000, 19-11-2014, Alm. Salg, 6.318, 3, 8260, Villa, 91, 1909
Enemærket 13, 3.150.000, 18-11-2014, Alm. Salg, 19.936, 5, 8240, Villa, 158, 1968, -4 %
Sydtoften 38, 2.000.000, 18-11-2014, Auktion, 12.658, 6, 8260, Villa, 158, 1970
Brendstrupvej 119, 3.525.000, 18-11-2014, Alm. Salg, 30.128, 4, 8200, Villa, 117, 1954, -2 %
Fredensvang Runddel 6, 2.700.000, 17-11-2014, Alm. Salg, 25.714, 4, 8260, Villa, 105, 1960, -3 %
Kvædevej 49, 3.895.000, 17-11-2014, Alm. Salg, 15.395, 6, 8270, Villa, 253, 1966, -3 %
Høskovvej 23, 4.700.000, 16-11-2014, Alm. Salg, 20.982, 9, 8260, Villa, 224, 1946, -4 %
Bernstorffsvej 49, 3.448.000, 14-11-2014, Alm. Salg, 30.245, 5, 8260, Villa, 114, 1933, 0 %
Oktobervej 21, 2.335.000, 14-11-2014, Alm. Salg, 21.227, 4, 8210, Villa, 110, 1969, -3 %
Uraniavej 25, 3.850.000, 14-11-2014, Alm. Salg, 30.078, 6, 8270, Villa, 128, 1956, -4 %
Miltonsvej 27, 5.425.000, 14-11-2014, Alm. Salg, 27.398, 5, 8270, Villa, 198, 1950, -3 %
Dalvangen 38, 4.800.000, 13-11-2014, Alm. Salg, 31.168, 7, 8270, Villa, 154, 1967, -4 %
Blomstervangen 52, 3.075.000, 13-11-2014, Alm. Salg, 23.653, 4, 8250, Villa, 130, 1981, -8 %
Lykkensdalsvej 6C, 4.150.000, 13-11-2014, Alm. Salg, 25.617, 5, 8220, Villa, 162, 1967, -3 %
Elverdalsvej 36, 3.750.000, 13-11-2014, Alm. Salg, 29.296, 5, 8270, Villa, 128, 1949, -6 %
Besservej 17A, 2.050.000, 12-11-2014, Alm. Salg, 20.707, 4, 8240, Villa, 99, 1983, -11 %
Dysagervej 8, 2.550.000, 11-11-2014, Alm. Salg, 15.454, 4, 8230, Villa, 165, 1962, -5 %
Duevej 13, 3.250.000, 11-11-2014, Alm. Salg, 31.553, 3, 8210, Villa, 103, 1934, -1 %
Klokkerbakken 35, 3.240.000, 10-11-2014, Alm. Salg, 24.545, 3, 8210, Villa, 132, 1967, -2 %
Ellemarksvej 13, 5.250.000, 10-11-2014, Alm. Salg, 25.000, 6, 8000, Villa, 210, 1934, -5 %
Porskær 17, 3.748.000, 10-11-2014, Alm. Salg, 19.623, 4, 8220, Villa, 191, 2009, 0 %
Tranebærkæret 11, 3.500.000, 07-11-2014, Alm. Salg, 16.908, 5, 8220, Villa, 207, 1994, -12 %
Reventlowsvej 15, 1.020.000, 07-11-2014, Fam. Salg, 6.071, 6, 8260, Villa, 168, 1940
Rouloen 32, 5.500.000, 07-11-2014, Alm. Salg, 33.536, 5, 8250, Villa, 164, 1967, -8 %
Dr.Holsts Vej 19, 2.590.000, 06-11-2014, Alm. Salg, 24.666, 4, 8230, Villa, 105, 1990
Kornmodsbakken 138, 2.750.000, 06-11-2014, Alm. Salg, 16.081, 6, 8210, Villa, 171, 1978, -5 %
Damagervej 8, 2.500.000, 06-11-2014, Alm. Salg, 17.857, 4, 8260, Villa, 140, 1677, -17 %
Fuglsøvej 37, 2.700.000, 04-11-2014, Alm. Salg, 19.014, 5, 8240, Villa, 142, 1960, -4 %
Højvangsvej 24, 2.600.000, 03-11-2014, Alm. Salg, 25.742, 3, 8260, Villa, 101, 1965
Klokkerfaldet 57, 3.300.000, 03-11-2014, Alm. Salg, 15.942, 7, 8210, Villa, 207, 1967, 0 %
Holmstruphøjvej 110, 1.798.000, 03-11-2014, Alm. Salg, 21.662, 3, 8210, Villa, 83, 1981, 0 %
Jægerstien 3, 14.350.000, 02-11-2014, Alm. Salg, 42.964, 10, 8270, Villa, 334, 1907, -7 %
Stationsgade 6, 2.995.000, 31-10-2014, Alm. Salg, 19.575, 7, 8240, Villa, 153, 1891, 0 %
Nøjsomhedsvej 6, 2.300.000, 31-10-2014, Alm. Salg, 13.372, 6, 8220, Villa, 172, 1934
Kanehaven 92, 3.200.000, 31-10-2014, Alm. Salg, 22.695, 5, 8240, Villa, 141, 1970
Søndersøvej 16, 5.200.000, 31-10-2014, Alm. Salg, 28.260, 6, 8240, Villa, 184, 2009, -5 %
Silkeborgvej 367, 2.730.000, 31-10-2014, Alm. Salg, 27.029, 4, 8230, Villa, 101, 1922, -2 %
Lindevej 14, 4.500.000, 31-10-2014, Alm. Salg, 36.585, 4, 8260, Villa, 123, 1945, -4 %
Højvangsvej 7, 3.350.000, 31-10-2014, Alm. Salg, 13.729, 7, 8260, Villa, 244, 1964, -1 %
Erik Bøghs Vej 24, 3.130.000, 30-10-2014, Alm. Salg, 20.592, 3, 8230, Villa, 152, 1957, -5 %
Højrisvej 7, 6.000.000, 30-10-2014, Alm. Salg, 31.250, 6, 8240, Villa, 192, 1937, 0 %
Bakkevænget 17, 2.210.000, 29-10-2014, Alm. Salg, 15.241, 4, 8200, Villa, 145, 1952, -15 %
Holmevej 203, 2.015.000, 29-10-2014, Alm. Salg, 14.392, 4, 8270, Villa, 140, 1949, -12 %
Arnakvænge 10, 5.425.000, 28-10-2014, Alm. Salg, 25.833, 5, 8270, Villa, 210, 1969, -6 %
Haldsøvej 10, 3.200.000, 28-10-2014, Alm. Salg, 22.068, 5, 8240, Villa, 145, 1987, -4 %
J.P.Larsens Vej 32, 2.250.000, 28-10-2014, Alm. Salg, 18.292, 3, 8220, Villa, 123, 1960, -4 %
Vølundsvej 19, 1.804.500, 27-10-2014, Fam. Salg, 10.491, 6, 8230, Villa, 172, 1926
Sophus Bauditz Vej 58, 3.025.000, 27-10-2014, Alm. Salg, 29.086, 3, 8230, Villa, 104, 1968, -2 %
Blomstervangen 42, 4.850.000, 24-10-2014, Alm. Salg, 20.550, 7, 8250, Villa, 236, 1983, -3 %
Vilhelm Becks Vej 28, 4.500.000, 24-10-2014, Alm. Salg, 32.608, 5, 8260, Villa, 138, 1951, -10 %
Høvej 50, 4.250.000, 24-10-2014, Alm. Salg, 37.946, 4, 8200, Villa, 112, 1777
Smedegade 11, 3.160.000, 24-10-2014, Alm. Salg, 25.483, 3, 8240, Villa, 124, 2008, -1 %
Egebjergvej 125, 2.285.000, 23-10-2014, Alm. Salg, 16.801, 4, 8220, Villa, 136, 1970, -8 %
Vilhelm Becks Vej 24, 4.225.000, 23-10-2014, Alm. Salg, 32.751, 5, 8260, Villa, 129, 1951, -4 %
Helgesvej 19, 1.096.000, 23-10-2014, Fam. Salg, 5.425, 5, 8230, Villa, 202, 1926
Elsdyrvænget 44, 6.750.000, 23-10-2014, Alm. Salg, 30.133, 6, 8270, Villa, 224, 1904, -10 %
Askvej 11, 4.750.000, 23-10-2014, Alm. Salg, 28.614, 7, 8240, Villa, 166, 1960, -2 %
Onsholtvej 6B, 830.500, 23-10-2014, Andet, 7.761, 4, 8260, Villa, 107, 1998
Humlevej 1, 8.500.000, 22-10-2014, Alm. Salg, 38.990, 6, 8240, Villa, 218, 1976, -6 %
Hørvej 5, 2.810.000, 22-10-2014, Alm. Salg, 28.100, 5, 8260, Villa, 100, 1915, -1 %
Rishøjvej 11, 9.900.000, 22-10-2014, Alm. Salg, 22.706, 15, 8240, Villa, 436, 1916, 1 %
Laskedalen 97, 3.188.000, 21-10-2014, Alm. Salg, 21.835, 5, 8220, Villa, 146, 2005, 0 %
Elmsager 1, 2.168.000, 21-10-2014, Fam. Salg, 14.951, 4, 8240, Villa, 145, 1972
Oddervej 96, 2.175.000, 21-10-2014, Alm. Salg, 21.750, 3, 8270, Villa, 100, 1946, -9 %
L.A.Rings Vej 34, 3.425.000, 21-10-2014, Alm. Salg, 23.784, 4, 8270, Villa, 144, 1960, -2 %
Ellemarksvej 17, 2.750.000, 21-10-2014, Alm. Salg, 12.387, 6, 8000, Villa, 222, 1935
Søsterhøjvej 50, 3.750.000, 21-10-2014, Alm. Salg, 19.946, 7, 8270, Villa, 188, 1980, -6 %
Klokkerfaldet 12, 3.348.000, 20-10-2014, Alm. Salg, 21.461, 4, 8210, Villa, 156, 1969, 0 %
Ryslingevej 30, 2.450.000, 20-10-2014, Alm. Salg, 16.333, 7, 8270, Villa, 150, 1963, -2 %
Agerbæksvej 8O, 3.470.000, 20-10-2014, Alm. Salg, 26.287, 5, 8240, Villa, 132, 1969, -3 %
Brovej 4, 6.100.000, 19-10-2014, Alm. Salg, 27.477, 8, 8250, Villa, 222, 1990, -5 %
Ulvehaven 8, 5.290.000, 17-10-2014, Fam. Salg, 27.128, 8, 8270, Villa, 195, 1959
Vidtskuevej 17, 3.200.000, 17-10-2014, Alm. Salg, 24.060, 6, 8260, Villa, 133, 1963, -3 %
Snebærvej 1, 3.200.000, 17-10-2014, Alm. Salg, 18.823, 5, 8270, Villa, 170, 1961, -6 %
Lundshøjvej 28, 2.900.000, 17-10-2014, Alm. Salg, 24.369, 4, 8270, Villa, 119, 1960, -3 %
Kvædevej 54, 2.870.000, 17-10-2014, Alm. Salg, 14.947, 5, 8270, Villa, 192, 1972, -10 %
Magnoliavej 8, 4.400.000, 17-10-2014, Alm. Salg, 25.142, 6, 8260, Villa, 175, 1939, -4 %
Ryvangs Alle 27, 8.000.000, 17-10-2014, Alm. Salg, 35.087, 7, 8240, Villa, 228, 1930, -6 %
Enghaven 7, 980.000, 16-10-2014, Fam. Salg, 10.000, 3, 8250, Villa, 98, 1969
Årslev Markvej 25, 4.360.000, 16-10-2014, Alm. Salg, 25.202, 5, 8220, Villa, 173, 2012, -3 %
Toftagervej 3, 3.150.000, 14-10-2014, Alm. Salg, 27.876, 4, 8260, Villa, 113, 1934, -2 %
Egebjergvej 163, 3.535.000, 14-10-2014, Alm. Salg, 20.200, 6, 8220, Villa, 175, 1970, -3 %
Vølundsvej 5, 4.550.000, 13-10-2014, Alm. Salg, 48.404, 4, 8230, Villa, 94, 1924, -1 %
Prins Knuds Vej 47, 8.000.000, 13-10-2014, Alm. Salg, 29.520, 8, 8240, Villa, 271, 1943, -8 %
Nordrevej 1, 3.425.000, 13-10-2014, Alm. Salg, 28.305, 6, 8230, Villa, 121, 1916, -6 %
Randersvej 314, 2.550.000, 13-10-2014, Alm. Salg, 22.173, 7, 8200, Villa, 115, 1957, -5 %
Lykkenshøj 48, 2.350.000, 13-10-2014, Alm. Salg, 17.669, 3, 8220, Villa, 133, 1983, -6 %
Provsteparkvej 26, 1.230.127, 13-10-2014, Fam. Salg, 6.308, 6, 8270, Villa, 195, 1976
Grimhøjvej 9A, 900.000, 13-10-2014, Alm. Salg, 4.787, 7, 8220, Villa, 188, 1965
Porskær 23, 3.300.000, 13-10-2014, Alm. Salg, 20.370, 6, 8220, Villa, 162, 2008, -2 %
Labyrinten 6, 2.600.000, 10-10-2014, Alm. Salg, 24.074, 4, 8220, Villa, 108, 1964, -4 %
Bævervej 6, 7.400.000, 10-10-2014, Alm. Salg, 39.784, 5, 8270, Villa, 186, 1959, -5 %
Provsteparkvej 28, 2.600.000, 10-10-2014, Alm. Salg, 22.033, 4, 8270, Villa, 118, 1978, -5 %
Jarlsmindevej 76, 2.375.000, 10-10-2014, Alm. Salg, 21.396, 4, 8260, Villa, 111, 1979, -2 %
Skovdalsvej 8, 5.350.000, 10-10-2014, Alm. Salg, 29.558, 7, 8260, Villa, 181, 1961, -11 %
Carit Etlars Vej 7, 3.995.000, 10-10-2014, Alm. Salg, 28.535, 6, 8230, Villa, 140, 1922, 0 %
Stavtrupvej 9D, 2.200.000, 09-10-2014, Alm. Salg, 18.032, 4, 8260, Villa, 122, 1980, -2 %
Februarvej 46, 2.600.000, 09-10-2014, Alm. Salg, 13.684, 7, 8210, Villa, 190, 1977, -4 %
Holmegårdsvej 98, 3.595.000, 09-10-2014, Alm. Salg, 29.710, 4, 8270, Villa, 121, 1915, 0 %
Strandbakkevej 2B, 1.348.270, 08-10-2014, Alm. Salg, 13.090, 4, 8250, Villa, 103, 1963, -10 %
Elverdalsvej 73, 2.700.000, 07-10-2014, Alm. Salg, 27.551, 4, 8270, Villa, 98, 1958
Terp Skovvej 90, 1.033.333, 07-10-2014, Fam. Salg, 6.042, 6, 8270, Villa, 171, 1962
J.Skjoldborgs Vej 49, 2.940.000, 07-10-2014, Alm. Salg, 40.273, 4, 8230, Villa, 73, 1935, -2 %
Bispevej 37X, 2.900.000, 07-10-2014, Alm. Salg, 18.589, 5, 8260, Villa, 156, 1977, -8 %
Orionsvej 36B, 6.000.000, 07-10-2014, Alm. Salg, 33.707, 5, 8270, Villa, 178, 2012, -3 %
Kirketoften 1, 3.230.000, 06-10-2014, Alm. Salg, 20.187, 4, 8260, Villa, 160, 2005, -14 %
Høeg Hagens Vej 1, 2.400.000, 06-10-2014, Alm. Salg, 17.777, 5, 8200, Villa, 135, 1936, -17 %
P.S.Krøyers Vej 27, 5.575.000, 06-10-2014, Alm. Salg, 32.988, 4, 8270, Villa, 169, 1944, -2 %
Balagervej 19, 2.800.000, 05-10-2014, Alm. Salg, 28.571, 4, 8260, Villa, 98, 1934, -15 %
H.C.Andersens Vej 58, 4.250.000, 03-10-2014, Alm. Salg, 30.357, 5, 8230, Villa, 140, 1935, -5 %
Carinavej 10, 3.775.000, 03-10-2014, Alm. Salg, 17.806, 6, 8270, Villa, 212, 1955, -6 %
Skæring Sandager 83, 3.700.000, 02-10-2014, Alm. Salg, 23.717, 5, 8250, Villa, 156, 1988, -1 %
Teglbakken 53, 4.750.000, 02-10-2014, Alm. Salg, 28.106, 7, 8270, Villa, 169, 1974
Hjortevænget 15, 7.000.000, 02-10-2014, Alm. Salg, 27.450, 8, 8270, Villa, 255, 1969, -4 %
Salamanderparken 110, 5.100.000, 02-10-2014, Alm. Salg, 23.394, 6, 8260, Villa, 218, 2011, -12 %
Tokkerbakken 20, 225.000, 01-10-2014, Fam. Salg, 1.285, 6, 8240, Villa, 175, 1969
Vesttoften 5, 3.225.000, 01-10-2014, Alm. Salg, 23.035, 5, 8250, Villa, 140, 1966, -8 %
Neptunvej 19, 3.925.000, 01-10-2014, Alm. Salg, 31.150, 5, 8270, Villa, 126, 1955, -2 %
Agerbæksvej 7B, 3.050.000, 01-10-2014, Alm. Salg, 19.062, 7, 8240, Villa, 160, 1930
Tretommervej 26, 1.845.000, 01-10-2014, Alm. Salg, 14.760, 6, 8240, Villa, 125, 1928
Toftedalen 8, 2.550.000, 01-10-2014, Alm. Salg, 18.345, 6, 8250, Villa, 139, 1969, -10 %
Arendalsvej 17, 2.949.000, 01-10-2014, Alm. Salg, 21.064, 4, 8200, Villa, 140, 1939
Firkløvervej 22, 4.350.000, 30-09-2014, Alm. Salg, 24.438, 6, 8240, Villa, 178, 1955, -3 %
Sødalsvej 12, 4.100.000, 30-09-2014, Alm. Salg, 31.538, 6, 8220, Villa, 130, 1933, -4 %
Borgvold 1A, 1.920.000, 30-09-2014, Fam. Salg, 10.847, 7, 8260, Villa, 177, 1929
Årslev Markvej 19, 3.650.000, 30-09-2014, Alm. Salg, 18.717, 7, 8220, Villa, 195, 2012, -4 %
Laskedalen 10, 3.450.000, 29-09-2014, Alm. Salg, 19.491, 5, 8220, Villa, 177, 2007, -1 %
Aage Bergs Vej 1A, 3.900.000, 29-09-2014, Alm. Salg, 24.683, 3, 8240, Villa, 158, 1925, -2 %
Nordvestpassagen 19, 4.045.000, 29-09-2014, Alm. Salg, 19.541, 6, 8200, Villa, 207, 1945, -1 %
Carit Etlars Vej 29, 3.600.000, 29-09-2014, Alm. Salg, 23.376, 7, 8230, Villa, 154, 1932, -5 %
Bymosevej 49, 1.800.000, 28-09-2014, Alm. Salg, 16.071, 4, 8210, Villa, 112, 1973, -10 %
Kasted Tværvej 10, 1.850.000, 26-09-2014, Alm. Salg, 10.511, 8, 8200, Villa, 176, 1964, 3 %
Holmevangen 24, 3.230.000, 26-09-2014, Alm. Salg, 21.677, 5, 8270, Villa, 149, 1979, -5 %
Junivej 19, 1.086.089, 26-09-2014, Alm. Salg, 5.746, 7, 8210, Villa, 189, 1970
Solsortevej 19, 3.495.000, 25-09-2014, Alm. Salg, 34.603, 4, 8210, Villa, 101, 1937, 0 %
Visselbjergvej 2, 2.312.500, 25-09-2014, Alm. Salg, 15.213, 5, 8250, Villa, 152, 1969, -6 %
Fredensgårdsvej 32, 2.900.000, 25-09-2014, Alm. Salg, 25.000, 4, 8270, Villa, 116, 1958, -3 %
Lyngvej 12, 6.350.000, 24-09-2014, Alm. Salg, 28.348, 8, 8240, Villa, 224, 1937, -5 %
Skovbrynet 40, 6.800.000, 24-09-2014, Alm. Salg, 46.258, 4, 8000, Villa, 147, 1937, -3 %
Bragesvej 39, 4.350.000, 24-09-2014, Alm. Salg, 34.523, 6, 8230, Villa, 126, 1923, -3 %
Vestre Strandalle 79, 3.500.000, 23-09-2014, Alm. Salg, 19.774, 7, 8240, Villa, 177, 1946, -5 %
Vestre Strandalle 71, 3.047.000, 23-09-2014, Alm. Salg, 32.414, 3, 8240, Villa, 94, 1954, -8 %
Thomas Thaarups Vej 38, 2.400.000, 23-09-2014, Alm. Salg, 19.200, 5, 8230, Villa, 125, 1967, -2 %
Nøjsomhedsvej 10, 2.350.000, 23-09-2014, Alm. Salg, 14.687, 3, 8220, Villa, 160, 1975, -6 %
Bygholms Alle 6, 2.750.000, 22-09-2014, Alm. Salg, 26.960, 4, 8260, Villa, 102, 1950
Hjulbjergvej 18, 2.500.000, 22-09-2014, Alm. Salg, 17.857, 6, 8270, Villa, 140, 1961, -9 %
Vestergårdsvangen 125, 1.850.000, 22-09-2014, Andet, 11.490, 5, 8260, Villa, 161, 2010
Elmehøjen 4, 1.912.500, 22-09-2014, Alm. Salg, 11.383, 5, 8200, Villa, 168, 1969, -4 %
Niels Bohrs Vej 23, 3.200.000, 19-09-2014, Alm. Salg, 22.068, 5, 8260, Villa, 145, 1912, -6 %
Rosenvangs Alle 101, 2.450.000, 19-09-2014, Alm. Salg, 21.491, 4, 8270, Villa, 114, 1965, -2 %
Fuglesangs Alle 63, 3.150.000, 19-09-2014, Alm. Salg, 31.188, 4, 8210, Villa, 101, 1980, -2 %
Klintevej 36A, 3.000.000, 18-09-2014, Alm. Salg, 24.193, 4, 8240, Villa, 124, 1966
Salamanderparken 119, 3.675.000, 18-09-2014, Alm. Salg, 24.337, 4, 8260, Villa, 151, 2012, -1 %
Brinken 5, 3.100.000, 17-09-2014, Alm. Salg, 31.000, 3, 8260, Villa, 100, 1969, -3 %
Sejrs Alle 29, 5.050.000, 17-09-2014, Alm. Salg, 39.147, 4, 8240, Villa, 129, 1973
Solsikkevej 2, 2.815.000, 17-09-2014, Alm. Salg, 21.007, 5, 8240, Villa, 134, 1959, -3 %
Holme Byvej 16B, 4.145.000, 16-09-2014, Alm. Salg, 17.415, 8, 8270, Villa, 238, 1994, -1 %
Østre Strandalle 30, 2.890.000, 16-09-2014, Fam. Salg, 15.537, 5, 8240, Villa, 186, 1967
Christian Xs Vej 40, 2.900.000, 16-09-2014, Alm. Salg, 19.727, 5, 8260, Villa, 147, 1928, -3 %
Kærlundvej 24, 3.085.000, 16-09-2014, Alm. Salg, 17.729, 5, 8260, Villa, 174, 2007, -6 %
Dybkjærvej 23C, 1.100.000, 15-09-2014, Andet, 11.224, 3, 8200, Villa, 98, 1962
Hvedebjergvej 27, 2.025.000, 15-09-2014, Alm. Salg, 13.064, 6, 8220, Villa, 155, 1965, -12 %
Gammelsø Vænge 7A, 2.900.000, 15-09-2014, Alm. Salg, 20.567, 5, 8260, Villa, 141, 2011, -3 %
Klokkerfaldet 27, 3.650.000, 12-09-2014, Alm. Salg, 19.414, 5, 8210, Villa, 188, 1969, -4 %
Holme Ringvej 121, 2.895.000, 12-09-2014, Alm. Salg, 29.540, 4, 8260, Villa, 98, 1931, 0 %
Skovbrynet 10, 10.500.000, 12-09-2014, Alm. Salg, 31.818, 8, 8000, Villa, 330, 1922
Hvedebjergvej 58, 1.237.500, 12-09-2014, Fam. Salg, 8.088, 4, 8220, Villa, 153, 1972
Thomas Thaarups Vej 68, 2.390.000, 11-09-2014, Alm. Salg, 17.071, 4, 8230, Villa, 140, 1966, -4 %
Lystrupvej 42, 2.060.000, 11-09-2014, Alm. Salg, 18.558, 3, 8240, Villa, 111, 1953, -2 %
Haslevej 39, 4.098.000, 11-09-2014, Alm. Salg, 29.063, 5, 8230, Villa, 141, 1931, 0 %
J.P.Larsens Vej 24, 2.595.000, 11-09-2014, Alm. Salg, 25.194, 5, 8220, Villa, 103, 1959
Abildhøjvej 3, 2.000.000, 10-09-2014, Alm. Salg, 13.888, 5, 8260, Villa, 144, 1968, -9 %
