Vejnavn, Købesum, Dato, Type, kr/m², Rum, Postnr, Boligtype, m², Bygget, %
Visselbjergvej 5, 1.550.000, 12-03-2015, Alm. Salg, 12.400, 4, 8250, Villa, 125, 1970, -14 %
Skådevej 3, 573.750, 12-03-2015, Andet, 7.171, 4, 8270, Villa, 80, 1898
Krogagre 106, 4.425.000, 12-03-2015, Alm. Salg, 28.548, 7, 8240, Villa, 155, 1998, -2 %
Adelvej 25B, 7.375.000, 11-03-2015, Alm. Salg, 38.212, 5, 8240, Villa, 193, 1986, -2 %
Holme Møllevej 136, 3.200.000, 11-03-2015, Alm. Salg, 27.350, 3, 8270, Villa, 117, 1956, -2 %
Julivej 24, 2.000.000, 11-03-2015, Fam. Salg, 8.368, 6, 8210, Villa, 239, 1969
Haslevangsvej 46, 2.200.000, 11-03-2015, Alm. Salg, 26.506, 3, 8210, Villa, 83, 1954, -8 %
Salamanderparken 105, 4.162.500, 11-03-2015, Alm. Salg, 23.650, 6, 8260, Villa, 176, 2011, -3 %
Gurresøvej 8, 2.650.000, 10-03-2015, Alm. Salg, 18.531, 6, 8240, Villa, 143, 1957, -8 %
Bakkegårdsvej 47, 2.850.000, 10-03-2015, Alm. Salg, 27.403, 3, 8240, Villa, 104, 1937, -5 %
Januarvej 4, 865.000, 10-03-2015, Andet, 5.406, 7, 8210, Villa, 160, 1972
Grenåvej 13, 1.100.000, 09-03-2015, Fam. Salg, 10.000, 4, 8200, Villa, 110, 1952
Vestre Strandalle 82, 4.450.000, 08-03-2015, Alm. Salg, 32.481, 6, 8240, Villa, 137, 1939, -1 %
Søtoften 51, 4.325.000, 06-03-2015, Alm. Salg, 31.340, 4, 8250, Villa, 138, 1969, -9 %
Kornmodsbakken 154, 2.985.000, 06-03-2015, Alm. Salg, 19.900, 5, 8210, Villa, 150, 1978, 0 %
Egelundsvej 15, 5.245.000, 06-03-2015, Alm. Salg, 30.672, 5, 8240, Villa, 171, 1978, 0 %
L.A.Rings Vej 25, 5.998.000, 06-03-2015, Alm. Salg, 33.887, 5, 8270, Villa, 177, 2012, 0 %
L.A.Rings Vej 18A, 1.821.861, 05-03-2015, Andet, 15.705, 4, 8270, Villa, 116, 1963
Præstevangsvej 54, 3.450.000, 05-03-2015, Alm. Salg, 25.939, 6, 8210, Villa, 133, 1959, -1 %
Helenelyst 119, 1.682.500, 04-03-2015, Fam. Salg, 10.785, 5, 8220, Villa, 156, 2006
Albert Naurs Vej 7A, 2.450.000, 04-03-2015, Alm. Salg, 19.140, 6, 8270, Villa, 128, 1961
Rosenvangs Alle 120, 3.495.000, 04-03-2015, Alm. Salg, 23.145, 6, 8270, Villa, 151, 1947, 0 %
Bispevænget 11, 1.350.000, 02-03-2015, Alm. Salg, 21.093, 4, 8260, Villa, 64, 1928
Helgesgade 16, 2.801.000, 02-03-2015, Alm. Salg, 28.581, 6, 8260, Villa, 98, 1912, -6 %
Volshøjvej 6, 3.287.500, 02-03-2015, Alm. Salg, 19.685, 5, 8240, Villa, 167, 1965, -5 %
Christian Xs Vej 38, 2.150.000, 02-03-2015, Alm. Salg, 24.712, 4, 8260, Villa, 87, 1939, -10 %
Rugbjergvej 54, 2.875.000, 02-03-2015, Alm. Salg, 16.715, 6, 8260, Villa, 172, 1972, -4 %
Egebjergvej 85, 4.498.000, 01-03-2015, Alm. Salg, 23.066, 7, 8220, Villa, 195, 1970, 0 %
Hamphøjvej 14, 2.250.000, 27-02-2015, Alm. Salg, 20.270, 3, 8270, Villa, 111, 1953, -13 %
Skovvejen 127, 2.175.000, 26-02-2015, Alm. Salg, 36.250, 2, 8000, Villa, 60, 1860, -9 %
